title,calories,price,price/unit,product_image
PIZZA RISTORANTE MOZZARELLA 335 G,261 ,,"      9,87€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181585.jpg
PIZZA FORNO DI PIETRA BUITONI CARBONARA 300 G,274 ,,"     11,50€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181585.jpg
PIZZA BUITONI FORNO DI PIETRA TONNO 360 G,237 ,,"      9,58€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181585.jpg
PANNINI DR. OETKER 4 QUESOS 250 G,287 ,,"     11,96€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181585.jpg
PIZZA RISTORANTE TONNO 355 G,262 ,,"     10,39€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181585.jpg
PIZZA RISTORANTE BARBACOA 350 G,232 ,,"     10,54€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181585.jpg
TARRINA MAGNUM ALMOND 297 G,,,"     20,03€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/183780.jpg
TARRINA CARTE D'OR YOGUR Y FRUTAS DEL BOSQUE 500 G,181 ,,"      7,98€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/183780.jpg
TARRINA CARTE D'OR HELADO STRACCIATELLA 500 G,,,"      7,98€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/183780.jpg
TARRINA OREO  480 ML,,,"     18,54€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/183780.jpg
TARRINA CONDIS SORBETE LIMÓN 500 G,143 ,,"      3,50€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/183780.jpg
HELADO CARTE D'OR NOCILLA 900 ML,,,"      8,40€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/183780.jpg
TARRINA BEN&JERRY CHUNCKY MONKEY 465 ML,250 ,,"     16,23€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/183780.jpg
PIZZA RISTORANTE SPECIALE 330 G,251 ,,"     11,18€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181585.jpg
PIZZA MICRO BUITONI JAMÓN Y QUESO 315 G,221 ,,"     11,08€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181585.jpg
PIZZA FORNO DI PIETRA VEGETALE 370 G,186 ,,"      9,32€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181585.jpg
PANNINI DR. OETKER BARBACOA 250 G,241 ,,"     11,96€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181585.jpg
PIZZA RISTORANTE SIN GLUTEN MOZZARELLA 370 G,220 ,,"     11,59€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/181585.jpg
VINO D.O. CATALUÑA RAMÓN ROQUETA CABERNET SAUVIGNON 75 CL,,,"      7,05€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO D.O TERRA ALTA REFORJAT TINTO 75 CL,,,"      6,60€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO MASIA FREYE SYRAH TEMPRANILLO 75 CL,,,"      9,67€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO CATALUNYA CONDE CARALT TINTO 75 CL,,,"      4,39€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO MATINADA MONTSANT 75 CL,,,"      6,25€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO RAIMAT CLOS CLAMOR 75 CL,,,"      7,99€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO RAIMAT ABADIA 75 CL,,,"      9,32€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO ELOQÜENT D.O. PENEDÉS CABERNET SAUVIGNON 75 CL,,,"      5,85€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO PENEDÉS RENE BARBIER TINTO 75 CL,,,"      5,99€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO VINYA DEL MAR TINTO 75 CL,,,"      2,65€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO D.O MONTSANT GARBO TINTO 75 CL,,,"      9,99€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO TINTO SECRETS DEL VENT D.O MONTSANT 75 CL,,,"      6,25€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO PENEDÉS MONT-VERDÚ TINTO 75 CL,,,"      3,59€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO TINTO TERRA BAIXA D.O. CATALUNYA 75 CL,,,"      3,99€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO CASTELL DEL REMEI GOTIM BRU 75 CL,,,"     11,00€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO CASTELL DE PERELADA TINTO CRIANZA 75 CL,,,"      8,79€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO PENEDÉS BACH VIÑA EXTRISIMA TINTO 75 CL,,,"      6,07€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
VINO ANYAL D.O. PENEDÉS TINTO 75 CL,,,"      4,12€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/621005.jpg
